Compound,id_cinetica,T_C,disolvente,relacion,r2_fit,k_ext,k_deg,corr_k_ext_k_deg,k_deg_std,k_deg_CI95_lower,k_deg_CI95_upper
Anthocyanins,1,60.0,Agua75_ETA25,1_30,0.7275,0.0376,0.0015,-0.7429,0.0008,0.0,0.0031
Anthocyanins,7,60.0,Agua100,1_20,0.7393,0.012,0.0,-0.9518,0.0035,-0.0069,0.0069
Anthocyanins,8,75.0,Agua100,1_20,0.7852,0.0807,0.0041,-0.6464,0.001,0.0022,0.006
Anthocyanins,11,67.5,Agua100,1_30,0.7574,0.0281,0.0023,-0.8274,0.001,0.0003,0.0043
Anthocyanins,12,67.5,Agua100,1_10,0.8653,0.0108,0.0048,-0.9877,0.0043,-0.0036,0.0132
Anthocyanins,15,67.5,Agua75_ETA25,1_20,0.7431,0.022,0.0024,-0.8838,0.0013,-0.0003,0.005
Phenolics,3,60.0,Agua75_ETA25,1_10,0.6066,0.0979,0.0003,-0.5644,0.0002,-0.0002,0.0007
Phenolics,4,75.0,Agua75_ETA25,1_10,0.6279,0.1738,0.0009,-0.5142,0.0003,0.0004,0.0014
Phenolics,7,60.0,Agua100,1_20,0.536,0.0058,0.0058,-1.0,41.9884,-82.2915,82.3032
Phenolics,11,67.5,Agua100,1_30,0.943,0.0237,0.0,-0.8335,0.0006,-0.0011,0.0011
Phenolics,12,67.5,Agua100,1_10,0.8991,0.0835,0.0001,-0.579,0.0001,-0.0001,0.0004
Phenolics,13,67.5,Agua75_ETA25,1_20,0.8233,0.1109,0.0001,-0.5481,0.0001,-0.0001,0.0003
Phenolics,15,67.5,Agua75_ETA25,1_20,0.5064,0.1483,0.0,-0.517,0.0001,-0.0002,0.0003
Antioxidant Capacity (ABTS),7,60.0,Agua100,1_20,0.8919,0.0097,0.0009,-0.9748,0.0031,-0.0052,0.007
Antioxidant Capacity (ABTS),11,67.5,Agua100,1_30,0.6458,0.034,0.0,-0.7398,0.0011,-0.0022,0.0022
Antioxidant Capacity (ABTS),12,67.5,Agua100,1_10,0.7148,0.0698,0.001,-0.618,0.0003,0.0004,0.0017
Antioxidant Capacity (DPPH),4,75.0,Agua75_ETA25,1_10,0.6786,0.0534,0.0018,-0.6727,0.0007,0.0005,0.0031
Antioxidant Capacity (DPPH),6,75.0,Agua50_ETA50,1_20,0.7585,0.3316,0.0015,-0.4864,0.0004,0.0008,0.0022
