Compound,T_C,solvent,ratio,n_synthetic,k_ext_mean,k_ext_std,CI95_lower,CI95_upper,CI95_width
Anthocyanins,60.0,Agua100,1_20,26,0.0115,0.0021,0.0075,0.0151,0.0076
Anthocyanins,60.0,Agua75_ETA25,1_30,30,0.0384,0.0061,0.0303,0.0516,0.0213
Anthocyanins,67.5,Agua100,1_10,21,0.011,0.0034,0.0071,0.0168,0.0098
Anthocyanins,67.5,Agua100,1_30,30,0.0286,0.0045,0.021,0.0371,0.0162
Anthocyanins,67.5,Agua75_ETA25,1_20,30,0.0224,0.0046,0.0146,0.0302,0.0156
Anthocyanins,75.0,Agua100,1_20,28,0.0837,0.0115,0.0648,0.1073,0.0425
Phenolics,60.0,Agua100,1_20,23,0.0054,0.0016,0.0025,0.0088,0.0063
Phenolics,60.0,Agua75_ETA25,1_10,28,0.0973,0.0149,0.072,0.1273,0.0553
Phenolics,67.5,Agua100,1_10,30,0.087,0.0176,0.0605,0.1184,0.0579
Phenolics,67.5,Agua100,1_30,30,0.0231,0.0041,0.0162,0.0304,0.0142
Phenolics,67.5,Agua75_ETA25,1_20,52,0.1208,0.0334,0.0692,0.1916,0.1224
Phenolics,75.0,Agua75_ETA25,1_10,19,0.1589,0.0411,0.1089,0.2545,0.1455
Antioxidant Capacity (ABTS),60.0,Agua100,1_20,28,0.0094,0.0032,0.0041,0.014,0.0099
Antioxidant Capacity (ABTS),67.5,Agua100,1_10,28,0.0726,0.0141,0.0539,0.1048,0.051
Antioxidant Capacity (ABTS),67.5,Agua100,1_30,30,0.0333,0.0061,0.0208,0.0448,0.024
Antioxidant Capacity (DPPH),75.0,Agua50_ETA50,1_20,13,0.2281,0.0785,0.15,0.3943,0.2443
Antioxidant Capacity (DPPH),75.0,Agua75_ETA25,1_10,30,0.0548,0.0087,0.0423,0.0745,0.0321
