Compound,swept_param,value,R2_grouped_LOGO,RMSE_grouped_LOGO
Anthocyanins,n_estimators,50,-0.5804,0.0316
Anthocyanins,n_estimators,100,-0.5748,0.0316
Anthocyanins,n_estimators,200,-0.5817,0.0316
Anthocyanins,n_estimators,300,-0.5827,0.0317
Anthocyanins,max_depth,None,-0.5748,0.0316
Anthocyanins,max_depth,5,-0.5748,0.0316
Anthocyanins,max_depth,10,-0.5748,0.0316
Anthocyanins,max_depth,15,-0.5748,0.0316
Phenolics,n_estimators,50,-0.4511,0.0656
Phenolics,n_estimators,100,-0.4016,0.0645
Phenolics,n_estimators,200,-0.406,0.0646
Phenolics,n_estimators,300,-0.3949,0.0643
Phenolics,max_depth,None,-0.4016,0.0645
Phenolics,max_depth,5,-0.4016,0.0645
Phenolics,max_depth,10,-0.4016,0.0645
Phenolics,max_depth,15,-0.4016,0.0645
Antioxidant Capacity (ABTS),n_estimators,50,-1.1023,0.0394
Antioxidant Capacity (ABTS),n_estimators,100,-1.0193,0.0386
Antioxidant Capacity (ABTS),n_estimators,200,-1.0884,0.0393
Antioxidant Capacity (ABTS),n_estimators,300,-1.0934,0.0393
Antioxidant Capacity (ABTS),max_depth,None,-1.0193,0.0386
Antioxidant Capacity (ABTS),max_depth,5,-1.0193,0.0386
Antioxidant Capacity (ABTS),max_depth,10,-1.0193,0.0386
Antioxidant Capacity (ABTS),max_depth,15,-1.0193,0.0386
Antioxidant Capacity (DPPH),n_estimators,50,-2.828,0.1848
Antioxidant Capacity (DPPH),n_estimators,100,-2.9074,0.1867
Antioxidant Capacity (DPPH),n_estimators,200,-2.9024,0.1865
Antioxidant Capacity (DPPH),n_estimators,300,-2.9118,0.1868
Antioxidant Capacity (DPPH),max_depth,None,-2.9074,0.1867
Antioxidant Capacity (DPPH),max_depth,5,-2.9074,0.1867
Antioxidant Capacity (DPPH),max_depth,10,-2.9074,0.1867
Antioxidant Capacity (DPPH),max_depth,15,-2.9074,0.1867
