Compound,sigma,R2_grouped_LOCO,RMSE_grouped,rejection_rate,mean_kext_std_by_condition
Anthocyanins,0.02,-0.5455,0.0299,0.0,0.0016
Anthocyanins,0.04,-0.528,0.0305,0.0056,0.0031
Anthocyanins,0.057,-0.5563,0.0319,0.0278,0.0045
Anthocyanins,0.08,-0.5799,0.0316,0.0833,0.0054
Anthocyanins,0.1,-0.6217,0.0319,0.1167,0.0059
Anthocyanins,0.15,-0.6116,0.0347,0.1944,0.0078
Anthocyanins,0.2,-0.5278,0.0343,0.2611,0.009
Phenolics,0.02,-0.0128,0.0606,0.0,0.0105
Phenolics,0.04,-0.1873,0.0651,0.0524,0.0156
Phenolics,0.057,-0.3146,0.0673,0.1,0.0174
Phenolics,0.08,-0.4226,0.065,0.1333,0.0188
Phenolics,0.1,-0.3916,0.0604,0.1714,0.0185
Phenolics,0.15,-0.2359,0.0574,0.2381,0.0219
Phenolics,0.2,-0.0353,0.0521,0.3238,0.0234
Antioxidant Capacity (ABTS),0.02,-1.046,0.036,0.0,0.0022
Antioxidant Capacity (ABTS),0.04,-1.2333,0.0391,0.0,0.0045
Antioxidant Capacity (ABTS),0.057,-1.3448,0.0421,0.0111,0.0066
Antioxidant Capacity (ABTS),0.08,-1.0544,0.0389,0.0444,0.0078
Antioxidant Capacity (ABTS),0.1,-1.0869,0.0379,0.0778,0.008
Antioxidant Capacity (ABTS),0.15,-0.8886,0.0343,0.1889,0.0092
Antioxidant Capacity (ABTS),0.2,-1.0436,0.0333,0.2556,0.0095
Antioxidant Capacity (DPPH),0.02,-3.1099,0.2407,0.2167,0.0257
Antioxidant Capacity (DPPH),0.04,-2.9314,0.2222,0.2333,0.0383
Antioxidant Capacity (DPPH),0.057,-2.8386,0.2014,0.25,0.0408
Antioxidant Capacity (DPPH),0.08,-2.8248,0.1847,0.2833,0.0436
Antioxidant Capacity (DPPH),0.1,-3.0076,0.1579,0.3167,0.0318
Antioxidant Capacity (DPPH),0.15,-3.7533,0.1705,0.4167,0.0278
Antioxidant Capacity (DPPH),0.2,-3.4629,0.1598,0.4333,0.0305
